76213fd,marcozuniga,22 hours ago,ajustes finales 1 
c71a16e,marcozuniga,2 days ago,ajustes finales 1.2 
1607498,marcozuniga,2 days ago,ajustes finales 1.1 
40e6f5c,marcozuniga,2 days ago,ajustes finales 1 
95fe866,marcozuniga,8 days ago,ajustes versión 
e286446,marcozuniga,8 days ago,ajustes servicios - primera build estable 
c9a2df2,marcozuniga,10 days ago,ajustes usuarios 
53e2183,marcozuniga,10 days ago,opciones de cuenta de usuario y recuperación de contraseña 
0688470,marcozuniga,2 weeks ago,entrega 5 
d7f3157,marcozuniga,2 weeks ago,ajustes chat 2 
cdeead7,marcozuniga,2 weeks ago,ajustes chats 
f0dc483,marcozuniga,2 weeks ago,implementación funcionalidades de chat 
0c5cbf0,marcozuniga,2 weeks ago,implementación final favoritos 
0992e5f,marcozuniga,2 weeks ago,ajustes chat 
6eedbe3,marcozuniga,2 weeks ago,implementación parcial chat 
96de6e1,marcozuniga,3 weeks ago,ajustes favoritos 
4a78d2b,marcozuniga,3 weeks ago,cambios menores layout 
e0e0d35,marcozuniga,3 weeks ago,ajustes reseñas y pfp usuarios 
f2081b0,marcozuniga,3 weeks ago,implementación reseñas 
1c4a297,marcozuniga,4 weeks ago,ajustes nulidad 
9d77cdc,marcozuniga,4 weeks ago,eliminar productos y navegar al perfil del vendedor 
c782b94,marcozuniga,5 weeks ago,detalles de producto 
d9f1918,marcozuniga,5 weeks ago,soporte para imágenes 
b172f52,marcozuniga,5 weeks ago,soporte para imágenes 
235e098,marcozuniga,7 weeks ago,rediseño interfaz 
9ec3933,marcozuniga,7 weeks ago,encapsulamiento de funciones firebase 
4e846fb,marcozuniga,7 weeks ago,añadir productos 
677f365,marcozuniga,7 weeks ago,mejoras y pestaña mi cuenta 
0e88bef,marcozuniga,9 weeks ago,table layout y pestañas 
6a63ed5,marcozuniga,9 weeks ago,inicio login 
982e5dc,marcozuniga,10 weeks ago,busquedas por nombre 
3bd7040,marcozuniga,10 weeks ago,implementacion firebase y adicion de productos 
e5354d7,marcozuniga,10 weeks ago,preparacion inicial layouts 
61ad119,marcozuniga,10 weeks ago,preparacion inicial layouts 
92ad751,marcozuniga,10 weeks ago,revertir actualizacion 2 
98d3d2b,marcozuniga,10 weeks ago,revertir actualizacion 
8486f8e,marcozuniga,10 weeks ago,actualizacion de prueba 
74cb8fe,marcozuniga,10 weeks ago,primera subida 